Conta,Descrição
6211000000,Subcontratos-Materi.
6212000000,Subcontratos-Serviç.
6221010000,Trab.Esp-Ser.Inform.
6221020000,Trab.Esp-Cont/Finan.
6221030000,Trab.Esp.-Outros
6222010000,Pub.Pro-Méd.Imprensa
6222020000,Pub.Prop-Patrocínios
6223000000,Vigilân.e Segurança
6224000000,Honorários - ReCibos Verdes
6225000000,Comissões
6226010000,Cons. e Rep-EOConst.
6226020000,Cons. e Rep-E.Básico
6226030000,Cons. e Rep-E.Trans.
6226040000,Cons. e Rep-E.Admin.
6226050000,Cons. e Rep-Eq.Info.
6226060000,Cons.Rep-O.Ac.F.Tang
6231000000,Fer.Uten.Desg.Rápido
6232000000,Livros e Doc.Técnica
6233000000,Material Escritório
6234000000,Artigos para Oferta
6241000000,Electricidade
6242010000,Gasóleo
6242020000,Gasolina
6242030000,Gaz
6242050000,Oxigénio Acitilénio
6242060000,Outros Combustíveis
6243000000,Água
6248000000,Outros fluidos
6251010000,Deslocaç. e Estadas
6252010000,Transp.Pes-Terrestre
6252020000,Transp.Pes-Viat.Pro.
6253010000,Transp. Mercadorias
6261010000,Rendas-Ed.Out.Const.
6261020000,Rendas-Equipamento
6261030000,Rendas-Terrenos
6261040000,Aluguer-Viaturas
6261090000,Outros Alugueres
6262010000,Franq.Selos Postais
6262020000,Telefones
6262030000,Expresso Mail
6262040000,Telemóveis
6262050000,Circuitos
6262080000,Comunic.-O. Despesas
6263010000,Seguro Multiriscos
6263020000,Seguro Automóvel
6263030000,Seguro R.Civil-Geral
6263040000,Seguro R.Civil-D&O
6263050000,Seg. R.Civil -Outros
6263060000,Seg.Aciden. Pessoais
6263070000,Seguro Transporte
6263080000,Seguro-Outros
6265000000,Contenc. e notariado
6266000000,Desp. Representação
6267000000,Limp  hig.e conforto
6268010000,Prestadores de Serv.
6268020000,Curso Formação Prof.
6268030000,Sem Cong.e Conferên.
6268040000,Fardamento e Calçado
6268050000,Jornais e Revistas
6268090000,Serv.Diversos-Outros
